mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,boot,Exclusions,hdi_contains_zero
-0.036,0.074,-0.192,0.099,0.001,0.001,2495.0,1427.0,2495.0,1576.0,1.0,0,Across Data,True
0.012,0.061,-0.101,0.141,0.001,0.001,2692.0,1179.0,2712.0,1558.0,1.0,1,Across Data,True
-0.085,0.07,-0.226,0.051,0.001,0.001,2548.0,1899.0,2541.0,1457.0,1.0,2,Across Data,True
-0.118,0.068,-0.253,0.014,0.002,0.001,2004.0,1935.0,1994.0,1551.0,1.0,3,Across Data,True
0.093,0.075,-0.057,0.235,0.001,0.001,2858.0,2261.0,2856.0,1859.0,1.0,4,Across Data,True
-0.034,0.073,-0.174,0.109,0.001,0.001,2526.0,1262.0,2525.0,1616.0,1.0,5,Across Data,True
-0.011,0.068,-0.141,0.119,0.001,0.001,2889.0,1217.0,2889.0,1680.0,1.01,6,Across Data,True
0.013,0.066,-0.116,0.144,0.001,0.001,2377.0,1064.0,2405.0,1008.0,1.0,7,Across Data,True
-0.012,0.07,-0.145,0.124,0.001,0.001,2539.0,1120.0,2556.0,1694.0,1.0,8,Across Data,True
-0.137,0.062,-0.25,-0.009,0.001,0.001,2405.0,2405.0,2422.0,1495.0,1.0,9,Across Data,False
0.066,0.076,-0.078,0.213,0.002,0.001,2410.0,1582.0,2415.0,1624.0,1.0,10,Across Data,True
0.03,0.069,-0.104,0.164,0.001,0.001,2254.0,1738.0,2259.0,1847.0,1.0,11,Across Data,True
-0.023,0.065,-0.153,0.101,0.001,0.001,2235.0,1469.0,2227.0,1720.0,1.0,12,Across Data,True
-0.067,0.078,-0.21,0.089,0.002,0.001,2532.0,1930.0,2529.0,1619.0,1.0,13,Across Data,True
0.202,0.071,0.076,0.35,0.001,0.001,2252.0,2209.0,2251.0,1729.0,1.0,14,Across Data,False
0.046,0.064,-0.069,0.169,0.001,0.001,2291.0,1657.0,2299.0,1572.0,1.0,15,Across Data,True
-0.039,0.08,-0.186,0.124,0.002,0.002,2138.0,1060.0,2127.0,1436.0,1.01,16,Across Data,True
-0.141,0.063,-0.267,-0.021,0.001,0.001,2538.0,2200.0,2529.0,1560.0,1.0,17,Across Data,False
0.035,0.07,-0.098,0.179,0.002,0.001,2109.0,1265.0,2112.0,1754.0,1.0,18,Across Data,True
0.128,0.069,-0.004,0.267,0.001,0.001,2240.0,2014.0,2241.0,1569.0,1.0,19,Across Data,True
0.055,0.065,-0.074,0.18,0.001,0.001,2503.0,1590.0,2498.0,1540.0,1.0,20,Across Data,True
0.093,0.071,-0.053,0.22,0.001,0.001,2310.0,1951.0,2299.0,1431.0,1.0,21,Across Data,True
0.06,0.068,-0.073,0.198,0.001,0.001,2568.0,1949.0,2575.0,1725.0,1.0,22,Across Data,True
-0.078,0.07,-0.212,0.058,0.002,0.001,1958.0,1604.0,1956.0,1722.0,1.0,23,Across Data,True
-0.16,0.064,-0.28,-0.028,0.001,0.001,2391.0,2051.0,2420.0,1551.0,1.0,24,Across Data,False
0.013,0.064,-0.11,0.135,0.001,0.001,2682.0,1271.0,2677.0,1612.0,1.0,25,Across Data,True
0.023,0.075,-0.131,0.166,0.001,0.002,2742.0,1103.0,2734.0,1340.0,1.0,26,Across Data,True
-0.011,0.07,-0.142,0.131,0.002,0.001,2149.0,1200.0,2138.0,1778.0,1.0,27,Across Data,True
0.195,0.056,0.085,0.303,0.001,0.001,1907.0,1907.0,1945.0,1559.0,1.0,28,Across Data,False
