mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,boot,Exclusions,hdi_contains_zero
-0.04,0.071,-0.173,0.115,0.001,0.001,2613.0,1645.0,2624.0,1821.0,1.0,0,Within Conditions,True
-0.057,0.065,-0.191,0.066,0.001,0.001,2293.0,1486.0,2288.0,1619.0,1.0,1,Within Conditions,True
-0.284,0.075,-0.42,-0.136,0.001,0.001,2595.0,2465.0,2598.0,1736.0,1.0,2,Within Conditions,False
-0.203,0.067,-0.327,-0.065,0.001,0.001,2603.0,2603.0,2593.0,1640.0,1.0,3,Within Conditions,False
0.093,0.078,-0.071,0.235,0.002,0.001,2638.0,2039.0,2643.0,1692.0,1.0,4,Within Conditions,True
-0.03,0.076,-0.18,0.111,0.001,0.002,2661.0,1234.0,2662.0,1558.0,1.0,5,Within Conditions,True
-0.033,0.066,-0.157,0.098,0.001,0.001,2751.0,1565.0,2733.0,1903.0,1.0,6,Within Conditions,True
0.031,0.065,-0.096,0.152,0.001,0.001,2675.0,1543.0,2618.0,1353.0,1.0,7,Within Conditions,True
-0.023,0.068,-0.166,0.098,0.001,0.001,2578.0,1465.0,2587.0,1739.0,1.0,8,Within Conditions,True
-0.241,0.063,-0.369,-0.122,0.001,0.001,2855.0,2548.0,2885.0,1540.0,1.0,9,Within Conditions,False
0.084,0.076,-0.064,0.218,0.002,0.001,2507.0,1983.0,2516.0,1743.0,1.01,10,Within Conditions,True
0.059,0.072,-0.079,0.201,0.001,0.001,2388.0,1859.0,2357.0,1742.0,1.0,11,Within Conditions,True
-0.018,0.065,-0.136,0.117,0.001,0.001,2726.0,1296.0,2734.0,1610.0,1.0,12,Within Conditions,True
0.088,0.074,-0.051,0.236,0.002,0.001,2191.0,1916.0,2197.0,1581.0,1.0,13,Within Conditions,True
0.26,0.075,0.114,0.408,0.002,0.001,2473.0,2375.0,2478.0,1606.0,1.01,14,Within Conditions,False
0.079,0.066,-0.056,0.201,0.001,0.001,2306.0,1839.0,2305.0,1710.0,1.0,15,Within Conditions,True
-0.042,0.076,-0.2,0.102,0.002,0.001,2508.0,1476.0,2510.0,1472.0,1.01,16,Within Conditions,True
-0.227,0.067,-0.343,-0.09,0.001,0.001,3093.0,3010.0,3075.0,1803.0,1.0,17,Within Conditions,False
0.017,0.068,-0.121,0.146,0.001,0.001,2616.0,1312.0,2594.0,1640.0,1.0,18,Within Conditions,True
0.16,0.07,0.029,0.3,0.001,0.001,2484.0,2338.0,2465.0,1656.0,1.0,19,Within Conditions,False
0.075,0.066,-0.05,0.202,0.001,0.001,2670.0,2057.0,2674.0,1670.0,1.0,20,Within Conditions,True
0.105,0.069,-0.026,0.241,0.001,0.001,2304.0,1957.0,2315.0,1666.0,1.0,21,Within Conditions,True
0.081,0.065,-0.047,0.211,0.001,0.001,2330.0,2063.0,2324.0,1539.0,1.0,22,Within Conditions,True
-0.147,0.072,-0.293,-0.015,0.001,0.001,2747.0,2299.0,2737.0,1498.0,1.0,23,Within Conditions,False
-0.147,0.065,-0.272,-0.019,0.001,0.001,2309.0,2157.0,2309.0,1473.0,1.0,24,Within Conditions,False
-0.011,0.063,-0.124,0.115,0.001,0.001,2068.0,912.0,2090.0,1479.0,1.0,25,Within Conditions,True
0.016,0.075,-0.128,0.162,0.001,0.001,2529.0,1282.0,2508.0,1715.0,1.0,26,Within Conditions,True
-0.006,0.071,-0.156,0.117,0.001,0.001,2847.0,1207.0,2863.0,1823.0,1.0,27,Within Conditions,True
0.262,0.064,0.142,0.387,0.001,0.001,2465.0,2382.0,2462.0,1538.0,1.0,28,Within Conditions,False
0.071,0.067,-0.069,0.197,0.001,0.001,2642.0,1773.0,2641.0,1610.0,1.0,29,Within Conditions,True
