Year,Title,DOI,Univariate Exclusions?,DV,Cutoff,Cutoff Type,Exclusion Strategy,Appropriate?,Note
2020,"The (Income-Adjusted) Price of Good Behavior:Documenting the Counter-Intuitive, Wealth-Based MoralJudgment Gap ",10.1037/xge0000952,Yes,RT,2.5,MAD,Across,Yes,
2020,Affective Forecasting: A Selective Relationship WithWorking Memory for Emotion,10.1037/xge0000780,Yes,,3.5,z-score,Across,Yes,
2020,Individual Differences in Creative Cognition,10.1037/xge0000713,No,,,,,,
2020,How Adolescents and Adults Translate Motivational Value to Action : Age-Related Shifts in Strategic Physical Effort Exertion for Monetary Rewards,10.1037/xge0000769,No,,,,,,
2020,Diffusion Modeling and Intelligence: Drift Rates Show Both Domain-General and Domain-Specific Relations With Intelligence,10.1037/xge0000774,Yes,RT,3,IQR,Within Part/Cond,No,
2020,Is There a G Factor for Metacognition? Correlations in Retrospective Metacognitive Sensitivity Across Tasks,10.1037/xge0000746,No,,,,,,
2020, A toolbox approach to improving the measurement of attention control,10.1037/xge0000783,Yes,Multiple,Multiple,Multiple,Within Part,Yes,
2020,"Victims, perpetrators, or both? The vicious cycle of disrespect and cynical beliefs about human nature.",10.1037/xge0000738,No,,,,,,
2020,Spatial processes in category assignment,10.1037/xge0000907 ,Yes,Accuracy,1.5,IQR,Unclear,No,
2020,"Creativity Anxiety : Evidence for Anxiety That Is Specific to Creative Thinking, From STEM to the Arts ",10.1037/xge0000738,No,,,,,,
2020,"Optimal use of reminders: Metacognition, effort, and cognitive offloading",10.1037/xge0000652,Yes,Multiple,2.5,z-score,Within Cond,No,
2020,The Correlations in Experience Principle:How Culture Shapes Concepts of Time and Number,10.1037/xge0000696/10.1037/,Yes,RT,2.5,z-score,Within Part,Yes,
2020,Cognitive control across adolescence : dynamic adjustments and mind-wandering,10.1037/xge0000698,Yes,RT,3,z-score,Within Part,Yes,
2020,Unit of Visual Working Memory : A Boolean Map Provides a Better Account Than an Object Does ,10.1037/xge0000616,Yes,RT,4,z-score,Across,Yes,
2020,Inability to improve performance with control shows limited access to inner states,10.1037/xge0000641,Yes,RT,Multiple,Multiple,Unclear,Unclear,
2020,Is This My Group or Not? The Role of Ensemble Coding ofEmotional Expressions in Group Categorization,10.1037/xge0000651,No,,,,,,
2020,No Role for Activated Long-term Memory in Attentional Control Settings,10.1037/xge0000642,Yes,RT,2.5,z-score,Within Cond,No,
2020,Value computations underlying human proposer behaviour in the Ultimatum Game,10.1037/xge0000621,Yes,RT,Unclear,Unclear,Unclear,Unclear,
2019,An ideological asymmetry in the diffusion of moralized content on social media among political leaders.,10.1037/xge0000532,Yes,Moral contagion,3,z-score,Within Cond,No,
2019,Is executive control related to working memory capacity and fluid intelligence?,10.1037/xge0000593,No,,,,,,
2019,"99% impossible: A valid, or falsifiable, internal meta-analysis.",10.1037/xge0000663,No,,,,,,
2019,A diffusion model analysis of the response-effect compatibility effect.,10.1037/xge0000430,Yes,RT,Fixed,Fixed,Across,Yes,
2019,Is social decision making for close others consistent across domains and within individuals?,10.1037/xge0000719,Yes,Various,Multiple,Multiple,Across,Yes,
2019,The phonographic language network: Using network science to investigate the phonological and orthographic similarity structure of language.,10.1037/xge0000575,Yes,RT,2,z-score,Within Part,Yes,
2019,Intrusive Memories and Voluntary Memory of a Trauma Film: Differential Effects of a Cognitive Interference Task After Encoding,10.1037/xge0000598,Yes,Multiple,3,z-score,Within Cond,No,
2019,Risk contagion by peers affects learning and decision-making in adolescents.,10.1037/xge0000512 ,Yes,Multiple,2,z-score,Across,Yes,
2019,"Evaluating the Cognitive Reflection Test as a Measure of Intuition/Reflection, Numeracy, and Insight Problem Solving, and the Implications for Understanding Real-World Judgments and Beliefs",10.1037/xge0000592,Yes,Time,Fixed,Fixed,Across,Yes,
2019,Visual search within working memory.,10.1037/xge0000555,Yes,Time,3,z-score,Across,Yes,
2019,Cognitive control and capacity for prospective memory in complex dynamic environments.,10.1037/xge0000599,Yes,RT,1.74,IQR,Within Cond,Yes,Appropriate because conditions not used in analysis
2019,Electrophysiological evidence for action-effect prediction,10.1037/xge0000707,No,,,,,,
2019,The Cognitive Basis for the Split-Attention Effect ,,Yes,RT,3,z-score,Across,Yes,
2019,Failures to replicate a key result of the selective accessibility theory of anchoring.,10.1037/xge0000644,Yes,Estimate,3,z-score,Within Cond,No,
2019,Language Framing Shapes Dehumanization of Groups : A Successful Replication and Extension of Cooley et al. (2017) ,10.1037/xge0000723,Yes,Response,3,z-score (Winsorized),Across,Yes,
2019,The Functional Effects of Voluntary and Involuntary Phantom Color on Conscious Awareness ,10.1037/xge0000684,Yes,RT,2,z-score,Across,Yes,
2019,When does the present end and the future begin?,10.1037/xge0000681,Yes,Multiple,3,z-score/IQR,Across,Yes,
2019,Multisensory perceptual interactions between higher-order temporal frequency signals.,10.1037/xge0000513,Yes,Multiple,2,z-score,Within Cond,No,
2019,Capacity limitations of dishonesty.,10.1037/xge0000510,Yes,RT,2.5,z-score,Within Cond,No,
2019,Acting in action: Prosodic analysis of character portrayal during acting.,10.1037/xge0000624,No,,,,,,
2019,The second pugilist’s plight: Why people believe they are above average but are not especially happy about it.,10.1037/xge0000580,No,,,,,,
2019,Feel the bass: Music presented to tactile and auditory modalities increases aesthetic appreciation and body movement.,10.1037/xge0000708,Yes,Multiple,3,IQR,Across,Yes,
2019,Ideas are cheap: When and why adults value labor over ideas.,10.1037/xge0000473,No,,,,,,
2019,Robust Color-Shape Binding Representations for Multiple Objects in Visual Working Memory ,10.1037/xge0000562,Yes,RT,1.5,IQR,Across,Yes,
2019,Prospective Outcome Bias: Incurring (Unnecessary) Costs to Achieve Outcomes That Are Already Likely,10.1037/xge0000686,Yes,Multiple,95%CI,z-score (Winsorized),Across,Yes,
